titulaire-soutien,count
Ecologie les Verts;Génération écologie;Autogestion écologie 85,1
Parti socialiste;centre;divers gauche,1
Solidarité écologie gauche alternative;Parti des travailleurs;Mouvement des citoyens;Démocratie socialiste;Alternative démocratie socialisme;Alternative rouge et verte,1
indépendant;centre,1
Responsabilités partagées;Alliance pour l'écologie et la démocratie,1
Agir,1
Jeunesse nationaliste révolutionnaire,1
Verts indépendants,1
Rassemblement pour la République;Union pour la démocratie française;Centre national des indépendants;Parti républicain;Parti radical;Centre des démocrates sociaux;Parti social démocrate,1
Ecologie 92;Confédération syndicale du cadre de vie;Alternative;Initiatives 92;Ecologie citoyenneté et laïcité;Rencontres écologie et solidarités;Comité de soutien à la coopérative écologique;Dialogues-Cultures et identités;France cultures Islam et laïcité;Mouvement communautaire juif laïc;Ecologie et solidarités multiculturelles;Alliance pour l'écologie et la démocratie,1
Ecologie 92;Confédération syndicale du cadre de vie;Alternative;Initiatives 92;Ecologie citoyenneté et laïcité;Comité de soutien à la coopérative écologique;Dialogues-Cultures et identités;France cultures Islam et laïcité;Mouvement communautaire juif laïc;Ecologie et solidarités multiculturelles;Alliance pour l'écologie et la démocratie,1
Virage 93;Solidarité écologie gauche alternative;Alternative rouge et verte;Alternative démocratie socialisme,1
indépendant;Centre national des indépendants;Démocratie chrétienne française,1
sans étiquette;apolitique,1
Amis de la Terre,1
Mouvement pour une nouvelle humanité;Union des indépendants,1
Union des indépendants;Union départementale d'opposition 93,1
Ligue communiste révolutionnaire;Alternative libertaire,1
vert et rouge,1
Verts;Génération écologie;Gauche socialiste;Alternative rouge et verte;Alternative démocratie socialisme;Ligue communiste révolutionnaire;Refondations;Unir et agir pour Gagny,1
Rassemblement pour la République;Union pour la démocratie française;indépendants;non inscrit;Des villages dans la ville,1
Alliance pour l'écologie et la démocratie;Région verte;SOS environnement;Association des usagers de l'administration et des services publics;Fédération des usagers des transports d'Ile-de-France;Comité d'action du Val-de-Marne contre le bruit,1
Union pour la démocratie française;Centre des démocrates sociaux;Parti radical;Parti républicain;Parti social démocrate;Clubs perspectives et réalités,1
Trop d'immigrés la France aux Français,1
Union pour la démocratie française;Union des indépendants,1
